EVT_NAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,COUNT
North-Central Interior Graminoid Alkaline Fen,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,25
North-Central Interior Wet Meadow,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,670
Northern Atlantic Coastal Plain Riparian and Floodplain Shrubland,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Shrub,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,1654
Northern Atlantic Coastal Plain Riparian and Floodplain Herbaceous,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Herb,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,33143
South-Central Interior Large Floodplain Shrubland,Tr Central Interior and Appalachian Floodplain Systems,Shrub,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,392
South-Central Interior Small Stream and Riparian Shrubland,Tr Central Interior and Appalachian Riparian Systems,Shrub,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,13552
South-Central Interior Large Floodplain Herbaceous,Tr Central Interior and Appalachian Floodplain Systems,Herb,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,6720
South-Central Interior Small Stream and Riparian Herbaceous,Tr Central Interior and Appalachian Riparian Systems,Herb,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,55583
Southern Atlantic Coastal Plain Large River Floodplain Shrubland,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Shrub,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,890
Southern Atlantic Coastal Plain Large River Floodplain Herbaceous,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Herb,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,79242
Southern Piedmont Large Floodplain Shrubland,Tr Central Interior and Appalachian Floodplain Systems,Shrub,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,456
Southern Piedmont Small Floodplain and Riparian Shrubland,Tr Central Interior and Appalachian Riparian Systems,Shrub,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,3172
Southern Piedmont Large Floodplain Herbaceous,Tr Central Interior and Appalachian Floodplain Systems,Herb,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,3641
Southern Piedmont Small Floodplain and Riparian Herbaceous,Tr Central Interior and Appalachian Riparian Systems,Herb,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,22167
Northern & Central Ruderal Meadow,Sh Northern & Central Ruderal Meadow & Shrubland,Herb,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,3367571
Southeastern Ruderal Grassland,Sh Southeastern Ruderal Grassland & Shrubland,Herb,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,5096734
